,Province_State,Date,value
0,Afghanistan,1/22/20,0
1,Albania,1/22/20,0
2,Algeria,1/22/20,0
3,Andorra,1/22/20,0
4,Angola,1/22/20,0
5,Antigua and Barbuda,1/22/20,0
6,Argentina,1/22/20,0
7,Armenia,1/22/20,0
8,Australia,1/22/20,0
9,Austria,1/22/20,0
10,Azerbaijan,1/22/20,0
11,Bahamas,1/22/20,0
12,Bahrain,1/22/20,0
13,Bangladesh,1/22/20,0
14,Barbados,1/22/20,0
15,Belarus,1/22/20,0
16,Belgium,1/22/20,0
17,Belize,1/22/20,0
18,Benin,1/22/20,0
19,Bhutan,1/22/20,0
20,Bolivia,1/22/20,0
21,Bosnia and Herzegovina,1/22/20,0
22,Botswana,1/22/20,0
23,Brazil,1/22/20,0
24,Brunei,1/22/20,0
25,Bulgaria,1/22/20,0
26,Burkina Faso,1/22/20,0
27,Burma,1/22/20,0
28,Burundi,1/22/20,0
29,Cabo Verde,1/22/20,0
30,Cambodia,1/22/20,0
31,Cameroon,1/22/20,0
32,Canada,1/22/20,0
33,Central African Republic,1/22/20,0
34,Chad,1/22/20,0
35,Chile,1/22/20,0
36,China,1/22/20,548
37,Colombia,1/22/20,0
38,Comoros,1/22/20,0
39,Congo (Brazzaville),1/22/20,0
40,Congo (Kinshasa),1/22/20,0
41,Costa Rica,1/22/20,0
42,Cote d'Ivoire,1/22/20,0
43,Croatia,1/22/20,0
44,Cuba,1/22/20,0
45,Cyprus,1/22/20,0
46,Czechia,1/22/20,0
47,Denmark,1/22/20,0
48,Diamond Princess,1/22/20,0
49,Djibouti,1/22/20,0
50,Dominica,1/22/20,0
51,Dominican Republic,1/22/20,0
52,Ecuador,1/22/20,0
53,Egypt,1/22/20,0
54,El Salvador,1/22/20,0
55,Equatorial Guinea,1/22/20,0
56,Eritrea,1/22/20,0
57,Estonia,1/22/20,0
58,Eswatini,1/22/20,0
59,Ethiopia,1/22/20,0
60,Fiji,1/22/20,0
61,Finland,1/22/20,0
62,France,1/22/20,0
63,Gabon,1/22/20,0
64,Gambia,1/22/20,0
65,Georgia,1/22/20,0
66,Germany,1/22/20,0
67,Ghana,1/22/20,0
68,Greece,1/22/20,0
69,Grenada,1/22/20,0
70,Guatemala,1/22/20,0
71,Guinea,1/22/20,0
72,Guinea-Bissau,1/22/20,0
73,Guyana,1/22/20,0
74,Haiti,1/22/20,0
75,Holy See,1/22/20,0
76,Honduras,1/22/20,0
77,Hungary,1/22/20,0
78,Iceland,1/22/20,0
79,India,1/22/20,0
