,Province_State,Date,value
0,Alabama,1/22/20,0
1,Alaska,1/22/20,0
2,Arizona,1/22/20,0
3,Arkansas,1/22/20,0
4,California,1/22/20,0
5,Colorado,1/22/20,0
6,Connecticut,1/22/20,0
7,Delaware,1/22/20,0
8,Diamond Princess,1/22/20,0
9,District of Columbia,1/22/20,0
10,Florida,1/22/20,0
11,Georgia,1/22/20,0
12,Grand Princess,1/22/20,0
13,Hawaii,1/22/20,0
14,Idaho,1/22/20,0
15,Illinois,1/22/20,0
16,Indiana,1/22/20,0
17,Iowa,1/22/20,0
18,Kansas,1/22/20,0
19,Kentucky,1/22/20,0
20,Louisiana,1/22/20,0
21,Maine,1/22/20,0
22,Maryland,1/22/20,0
23,Massachusetts,1/22/20,0
24,Michigan,1/22/20,0
25,Minnesota,1/22/20,0
26,Mississippi,1/22/20,0
27,Missouri,1/22/20,0
28,Montana,1/22/20,0
29,Nebraska,1/22/20,0
30,Nevada,1/22/20,0
31,New Hampshire,1/22/20,0
32,New Jersey,1/22/20,0
33,New Mexico,1/22/20,0
34,New York,1/22/20,0
35,North Carolina,1/22/20,0
36,North Dakota,1/22/20,0
37,Ohio,1/22/20,0
38,Oklahoma,1/22/20,0
39,Oregon,1/22/20,0
40,Pennsylvania,1/22/20,0
41,Rhode Island,1/22/20,0
42,South Carolina,1/22/20,0
43,South Dakota,1/22/20,0
44,Tennessee,1/22/20,0
45,Texas,1/22/20,0
46,Utah,1/22/20,0
47,Vermont,1/22/20,0
48,Virginia,1/22/20,0
49,Washington,1/22/20,1
50,West Virginia,1/22/20,0
51,Wisconsin,1/22/20,0
52,Wyoming,1/22/20,0
53,Alabama,1/23/20,0
54,Alaska,1/23/20,0
55,Arizona,1/23/20,0
56,Arkansas,1/23/20,0
57,California,1/23/20,0
58,Colorado,1/23/20,0
59,Connecticut,1/23/20,0
60,Delaware,1/23/20,0
61,Diamond Princess,1/23/20,0
62,District of Columbia,1/23/20,0
63,Florida,1/23/20,0
64,Georgia,1/23/20,0
65,Grand Princess,1/23/20,0
66,Hawaii,1/23/20,0
67,Idaho,1/23/20,0
68,Illinois,1/23/20,0
69,Indiana,1/23/20,0
70,Iowa,1/23/20,0
71,Kansas,1/23/20,0
72,Kentucky,1/23/20,0
73,Louisiana,1/23/20,0
74,Maine,1/23/20,0
75,Maryland,1/23/20,0
76,Massachusetts,1/23/20,0
77,Michigan,1/23/20,0
78,Minnesota,1/23/20,0
79,Mississippi,1/23/20,0
80,Missouri,1/23/20,0
81,Montana,1/23/20,0
82,Nebraska,1/23/20,0
83,Nevada,1/23/20,0
84,New Hampshire,1/23/20,0
85,New Jersey,1/23/20,0
86,New Mexico,1/23/20,0
87,New York,1/23/20,0
88,North Carolina,1/23/20,0
89,North Dakota,1/23/20,0
90,Ohio,1/23/20,0
91,Oklahoma,1/23/20,0
92,Oregon,1/23/20,0
93,Pennsylvania,1/23/20,0
94,Rhode Island,1/23/20,0
95,South Carolina,1/23/20,0
96,South Dakota,1/23/20,0
97,Tennessee,1/23/20,0
98,Texas,1/23/20,0
99,Utah,1/23/20,0
100,Vermont,1/23/20,0
101,Virginia,1/23/20,0
102,Washington,1/23/20,1
103,West Virginia,1/23/20,0
104,Wisconsin,1/23/20,0
105,Wyoming,1/23/20,0
106,Alabama,1/24/20,0
107,Alaska,1/24/20,0
108,Arizona,1/24/20,0
109,Arkansas,1/24/20,0
110,California,1/24/20,0
111,Colorado,1/24/20,0
112,Connecticut,1/24/20,0
113,Delaware,1/24/20,0
114,Diamond Princess,1/24/20,0
115,District of Columbia,1/24/20,0
116,Florida,1/24/20,0
117,Georgia,1/24/20,0
118,Grand Princess,1/24/20,0
119,Hawaii,1/24/20,0
120,Idaho,1/24/20,0
121,Illinois,1/24/20,1
122,Indiana,1/24/20,0
123,Iowa,1/24/20,0
124,Kansas,1/24/20,0
125,Kentucky,1/24/20,0
126,Louisiana,1/24/20,0
127,Maine,1/24/20,0
128,Maryland,1/24/20,0
129,Massachusetts,1/24/20,0
130,Michigan,1/24/20,0
